"CustomerKey","MaritalStatus","Gender","Education","Occupation","HomeOwner","Country","SpendBand"
48,"M","F","High School","Skilled Manual","No","Australia","LowSpend"
49,"M","M","High School","Skilled Manual","Yes","Australia","LowSpend"
50,"S","F","Partial High School","Clerical","Yes","United States","MediumSpend"
51,"M","M","High School","Skilled Manual","Yes","Australia","LowSpend"
52,"S","M","High School","Skilled Manual","No","Australia","LowSpend"
53,"S","F","Partial College","Clerical","No","Australia","MediumSpend"
54,"M","F","Partial College","Skilled Manual","No","United States","MediumSpend"
55,"M","F","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
56,"M","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
57,"M","F","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
58,"M","M","Graduate Degree","Management","Yes","Australia","MediumSpend"
59,"M","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
60,"S","F","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
61,"M","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
62,"M","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
63,"M","M","High School","Skilled Manual","Yes","United States","HighSpend"
64,"S","F","High School","Skilled Manual","Yes","United States","HighSpend"
65,"M","M","High School","Skilled Manual","Yes","United States","HighSpend"
66,"M","F","Partial College","Skilled Manual","No","United States","HighSpend"
67,"M","F","Partial College","Professional","Yes","United States","MediumSpend"
68,"S","M","Partial College","Professional","Yes","United States","MediumSpend"
69,"S","F","High School","Skilled Manual","Yes","Australia","MediumSpend"
70,"S","F","High School","Skilled Manual","No","Australia","MediumSpend"
71,"M","M","High School","Skilled Manual","Yes","Australia","MediumSpend"
72,"S","F","High School","Skilled Manual","Yes","Australia","MediumSpend"
73,"S","F","High School","Skilled Manual","No","Australia","MediumSpend"
74,"S","F","High School","Skilled Manual","Yes","Australia","HighSpend"
75,"S","M","High School","Skilled Manual","Yes","Australia","MediumSpend"
76,"S","F","High School","Professional","Yes","Australia","HighSpend"
77,"S","M","High School","Professional","Yes","Australia","MediumSpend"
78,"S","F","High School","Professional","No","Australia","MediumSpend"
79,"S","F","High School","Professional","No","Canada","HighSpend"
80,"S","M","Graduate Degree","Management","Yes","Australia","MediumSpend"
81,"M","M","Graduate Degree","Management","Yes","Australia","MediumSpend"
82,"M","F","Bachelors","Management","Yes","United States","HighSpend"
83,"S","F","Graduate Degree","Management","No","United States","HighSpend"
84,"M","F","Graduate Degree","Management","Yes","United States","HighSpend"
85,"S","M","Partial High School","Skilled Manual","No","United States","HighSpend"
86,"S","F","High School","Professional","No","United States","HighSpend"
87,"M","M","Partial College","Professional","Yes","United States","HighSpend"
88,"M","F","Partial College","Professional","No","United States","MediumSpend"
89,"M","M","Bachelors","Management","Yes","United States","HighSpend"
90,"S","F","Bachelors","Management","Yes","United States","HighSpend"
91,"S","M","Partial College","Professional","Yes","United States","MediumSpend"
92,"M","M","Partial College","Professional","Yes","Canada","HighSpend"
93,"M","F","Bachelors","Professional","Yes","Australia","MediumSpend"
94,"M","F","Graduate Degree","Management","Yes","Australia","MediumSpend"
95,"S","M","Partial College","Skilled Manual","No","Australia","MediumSpend"
96,"S","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
97,"M","M","Bachelors","Professional","Yes","Australia","MediumSpend"
98,"M","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
99,"S","F","Partial College","Skilled Manual","No","Australia","MediumSpend"
100,"M","M","Bachelors","Professional","Yes","Australia","MediumSpend"
101,"S","F","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
102,"S","F","Bachelors","Professional","No","Australia","HighSpend"
103,"S","F","Bachelors","Professional","Yes","Australia","MediumSpend"
104,"S","F","Bachelors","Professional","Yes","Australia","MediumSpend"
105,"M","M","Bachelors","Professional","No","Australia","MediumSpend"
106,"S","F","Bachelors","Professional","No","Australia","MediumSpend"
107,"S","M","Bachelors","Professional","No","Australia","MediumSpend"
108,"M","F","Bachelors","Professional","Yes","Australia","MediumSpend"
109,"S","F","Bachelors","Professional","No","Australia","MediumSpend"
110,"S","M","Bachelors","Professional","No","Australia","MediumSpend"
111,"M","M","Partial College","Skilled Manual","Yes","Australia","HighSpend"
112,"M","F","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
113,"M","F","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
114,"M","M","Bachelors","Professional","Yes","Australia","HighSpend"
115,"S","F","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
116,"M","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
117,"M","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
118,"M","F","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
119,"S","M","Partial College","Skilled Manual","No","Australia","MediumSpend"
120,"S","M","Partial College","Clerical","No","Australia","LowSpend"
121,"S","F","Bachelors","Management","Yes","Australia","MediumSpend"
122,"M","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
123,"M","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
124,"M","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
125,"S","M","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
126,"S","F","Partial College","Skilled Manual","Yes","Australia","MediumSpend"
127,"M","M","High School","Skilled Manual","No","Australia","LowSpend"
128,"M","F","High School","Skilled Manual","Yes","United States","HighSpend"
129,"M","F","High School","Skilled Manual","Yes","United States","HighSpend"
130,"S","F","High School","Skilled Manual","Yes","United States","HighSpend"
131,"M","F","High School","Skilled Manual","Yes","United States","LowSpend"
132,"M","F","High School","Skilled Manual","No","Canada","LowSpend"
133,"S","F","High School","Skilled Manual","No","Canada","LowSpend"
134,"S","F","Partial High School","Clerical","No","United States","LowSpend"
135,"S","M","High School","Skilled Manual","Yes","Australia","LowSpend"
136,"S","M","Partial High School","Clerical","No","United States","LowSpend"
137,"S","F","High School","Skilled Manual","No","Canada","MediumSpend"
138,"M","F","High School","Skilled Manual","Yes","United States","MediumSpend"
139,"M","F","High School","Skilled Manual","No","United States","HighSpend"
140,"S","F","Partial College","Clerical","No","Australia","LowSpend"
141,"S","M","Partial High School","Clerical","No","United States","LowSpend"
142,"M","F","High School","Skilled Manual","No","United States","MediumSpend"
143,"S","M","High School","Skilled Manual","No","Canada","HighSpend"
144,"M","M","High School","Skilled Manual","Yes","United States","HighSpend"
145,"S","M","High School","Skilled Manual","No","United States","HighSpend"
146,"S","F","High School","Skilled Manual","No","United States","HighSpend"
147,"S","F","Bachelors","Management","Yes","Australia","MediumSpend"
148,"M","M","Graduate Degree","Management","Yes","Australia","MediumSpend"
149,"M","M","Bachelors","Management","Yes","Australia","MediumSpend"
150,"M","M","Bachelors","Management","Yes","Australia","MediumSpend"
151,"S","M","Bachelors","Management","Yes","Australia","MediumSpend"
152,"S","F","Graduate Degree","Management","No","Australia","MediumSpend"
153,"S","M","High School","Skilled Manual","Yes","United States","HighSpend"
154,"M","F","High School","Skilled Manual","Yes","United States","HighSpend"
155,"S","F","Partial College","Skilled Manual","Yes","United States","MediumSpend"
156,"S","M","Partial College","Skilled Manual","No","United States","HighSpend"
157,"S","F","Partial College","Skilled Manual","No","United States","MediumSpend"
158,"M","F","High School","Skilled Manual","Yes","United States","HighSpend"
159,"S","M","High School","Skilled Manual","Yes","United States","MediumSpend"
160,"S","F","High School","Skilled Manual","No","United States","HighSpend"
161,"S","M","Partial College","Skilled Manual","No","United States","MediumSpend"
162,"S","F","Partial College","Skilled Manual","No","United States","HighSpend"
163,"S","M","Partial College","Skilled Manual","Yes","United States","MediumSpend"
164,"M","M","Partial College","Skilled Manual","Yes","United States","HighSpend"
165,"S","M","Partial College","Skilled Manual","No","United States","HighSpend"
166,"M","F","Partial College","Skilled Manual","No","United States","MediumSpend"
167,"S","F","Partial College","Skilled Manual","No","United States","HighSpend"
168,"S","F","Bachelors","Management","No","United States","HighSpend"
169,"S","M","Bachelors","Management","No","United States","HighSpend"
170,"M","M","Bachelors","Management","Yes","United States","HighSpend"
171,"M","F","Bachelors","Management","Yes","United States","HighSpend"
172,"S","M","Bachelors","Management","Yes","United States","HighSpend"
173,"M","F","Bachelors","Management","Yes","United States","HighSpend"
174,"S","F","Graduate Degree","Management","No","United States","HighSpend"
175,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
176,"S","M","Partial College","Skilled Manual","Yes","United States","HighSpend"
177,"M","M","Bachelors","Management","Yes","Canada","HighSpend"
178,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
179,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
180,"M","F","Graduate Degree","Management","Yes","United States","HighSpend"
181,"M","F","Bachelors","Management","Yes","United States","HighSpend"
182,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
183,"S","F","Bachelors","Management","Yes","United States","MediumSpend"
184,"S","F","Bachelors","Management","Yes","United States","HighSpend"
185,"S","F","Bachelors","Management","Yes","United States","MediumSpend"
186,"S","F","Bachelors","Management","Yes","Canada","HighSpend"
187,"S","F","Bachelors","Management","Yes","United States","HighSpend"
188,"M","F","Graduate Degree","Management","Yes","United States","MediumSpend"
189,"M","F","Graduate Degree","Management","No","United States","HighSpend"
190,"S","M","Graduate Degree","Management","Yes","United States","HighSpend"
191,"M","M","Bachelors","Management","Yes","United States","HighSpend"
192,"S","F","Bachelors","Management","Yes","United States","MediumSpend"
193,"M","M","Bachelors","Management","Yes","United States","HighSpend"
194,"M","M","Bachelors","Management","Yes","United States","MediumSpend"
195,"M","F","Bachelors","Management","Yes","United States","HighSpend"
196,"M","F","Bachelors","Management","Yes","United States","HighSpend"
197,"M","M","Bachelors","Management","Yes","United States","MediumSpend"
198,"M","F","Bachelors","Management","No","United States","HighSpend"
199,"S","F","Bachelors","Management","Yes","United States","HighSpend"
200,"M","F","Bachelors","Management","Yes","United States","HighSpend"
201,"M","M","Bachelors","Management","Yes","Canada","HighSpend"
202,"M","F","Bachelors","Management","Yes","United States","HighSpend"
203,"M","F","Bachelors","Management","No","United States","HighSpend"
204,"M","M","High School","Professional","Yes","Canada","HighSpend"
205,"M","F","High School","Professional","Yes","United States","HighSpend"
206,"M","F","High School","Professional","Yes","United States","HighSpend"
207,"M","M","Partial College","Professional","Yes","United States","HighSpend"
208,"S","F","Partial College","Professional","Yes","United States","HighSpend"
209,"M","F","Bachelors","Management","Yes","United States","MediumSpend"
210,"M","F","Bachelors","Management","Yes","United States","HighSpend"
211,"M","M","Partial College","Professional","Yes","United States","HighSpend"
212,"M","F","High School","Professional","Yes","Canada","HighSpend"
213,"M","F","High School","Professional","Yes","Canada","HighSpend"
214,"S","F","Partial College","Professional","Yes","United States","HighSpend"
215,"S","M","Partial College","Professional","Yes","United States","HighSpend"
216,"M","F","Partial High School","Skilled Manual","Yes","Canada","HighSpend"
217,"S","F","Partial College","Professional","Yes","United States","HighSpend"
218,"S","F","Partial College","Professional","Yes","United States","HighSpend"
219,"S","F","Partial College","Professional","No","United States","HighSpend"
220,"M","M","High School","Professional","Yes","United States","HighSpend"
221,"M","F","Partial College","Professional","Yes","United States","HighSpend"
222,"M","M","Partial College","Professional","Yes","United States","HighSpend"
223,"M","F","Bachelors","Management","Yes","United States","HighSpend"
224,"S","F","High School","Professional","Yes","Canada","HighSpend"
225,"S","F","High School","Professional","Yes","United States","HighSpend"
226,"M","F","Partial College","Professional","Yes","United States","HighSpend"
227,"M","F","Partial College","Professional","Yes","United States","MediumSpend"
228,"S","M","Partial College","Professional","Yes","United States","MediumSpend"
229,"M","F","Partial College","Professional","Yes","United States","HighSpend"
230,"S","M","Partial College","Professional","Yes","United States","HighSpend"
231,"M","F","Partial College","Professional","No","United States","HighSpend"
232,"M","M","High School","Professional","Yes","United States","HighSpend"
233,"M","F","High School","Professional","No","United States","HighSpend"
234,"M","M","Partial College","Professional","Yes","United States","HighSpend"
235,"S","F","Partial College","Professional","Yes","United States","HighSpend"
236,"M","M","Partial College","Professional","Yes","United States","MediumSpend"
237,"S","M","Partial College","Professional","Yes","United States","MediumSpend"
238,"S","M","Bachelors","Management","No","Germany","HighSpend"
239,"S","F","Bachelors","Management","No","United Kingdom","HighSpend"
240,"M","F","Partial College","Professional","No","United Kingdom","HighSpend"
241,"M","F","Partial College","Professional","Yes","United Kingdom","HighSpend"
242,"S","F","Partial College","Professional","Yes","France","MediumSpend"
243,"M","M","Partial College","Professional","Yes","France","HighSpend"
244,"M","F","Partial College","Professional","Yes","United Kingdom","HighSpend"
245,"S","F","Bachelors","Management","No","United Kingdom","HighSpend"
246,"M","M","High School","Professional","No","Germany","HighSpend"
247,"M","F","High School","Professional","No","Germany","HighSpend"
248,"S","F","Partial College","Professional","No","United Kingdom","HighSpend"
249,"M","M","Partial College","Professional","Yes","France","HighSpend"
250,"M","F","Partial College","Professional","Yes","Germany","HighSpend"
251,"M","F","High School","Professional","Yes","United Kingdom","HighSpend"
252,"S","M","High School","Professional","No","Canada","LowSpend"
253,"S","M","Graduate Degree","Management","Yes","United States","HighSpend"
254,"M","M","Graduate Degree","Management","Yes","Canada","HighSpend"
255,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
256,"M","M","Graduate Degree","Management","Yes","United States","MediumSpend"
257,"M","F","Graduate Degree","Management","Yes","United States","MediumSpend"
258,"S","F","Graduate Degree","Management","Yes","United States","HighSpend"
259,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
260,"M","F","Partial College","Professional","Yes","United States","MediumSpend"
261,"M","F","Bachelors","Management","Yes","United States","HighSpend"
262,"M","F","Graduate Degree","Management","Yes","United States","HighSpend"
263,"M","F","Bachelors","Management","Yes","Canada","HighSpend"
264,"M","F","Partial College","Professional","Yes","United States","MediumSpend"
265,"S","M","Partial College","Professional","No","United States","HighSpend"
266,"M","F","Partial College","Professional","Yes","United States","MediumSpend"
267,"S","F","Partial College","Professional","No","United States","HighSpend"
268,"S","M","Partial College","Professional","Yes","United States","HighSpend"
269,"M","F","Graduate Degree","Management","Yes","United States","HighSpend"
270,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
271,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
272,"S","F","Bachelors","Management","No","United States","HighSpend"
273,"S","F","Partial College","Professional","Yes","United States","HighSpend"
274,"M","M","Partial College","Professional","Yes","United States","HighSpend"
275,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
276,"M","F","Graduate Degree","Management","Yes","United States","MediumSpend"
277,"M","F","Partial College","Professional","Yes","Canada","HighSpend"
278,"M","M","Partial College","Professional","Yes","Canada","MediumSpend"
279,"S","M","Partial College","Professional","No","United States","MediumSpend"
280,"M","F","Partial College","Professional","Yes","United States","HighSpend"
281,"M","M","Partial College","Professional","Yes","United States","HighSpend"
282,"S","F","Bachelors","Management","Yes","United States","HighSpend"
283,"M","M","Partial College","Professional","Yes","United States","HighSpend"
284,"M","M","Bachelors","Management","Yes","United States","HighSpend"
285,"M","F","Bachelors","Management","Yes","United States","HighSpend"
286,"M","M","Partial College","Professional","No","United States","HighSpend"
287,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
288,"M","M","Partial College","Professional","No","Canada","HighSpend"
289,"M","F","Bachelors","Management","Yes","United States","HighSpend"
290,"M","F","Bachelors","Management","Yes","United States","HighSpend"
291,"M","F","Bachelors","Management","Yes","United States","HighSpend"
292,"M","F","Bachelors","Management","Yes","United States","HighSpend"
293,"S","M","Partial College","Professional","No","United States","HighSpend"
294,"S","M","High School","Professional","No","United States","HighSpend"
295,"M","M","High School","Professional","No","United States","HighSpend"
296,"S","F","Partial High School","Skilled Manual","Yes","United States","HighSpend"
297,"S","F","Graduate Degree","Management","Yes","United States","MediumSpend"
298,"S","M","Graduate Degree","Management","Yes","United States","HighSpend"
299,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
300,"M","M","Graduate Degree","Management","Yes","United States","HighSpend"
301,"M","M","Partial College","Professional","No","Canada","HighSpend"
302,"M","M","Partial College","Professional","Yes","United States","HighSpend"
303,"S","M","High School","Professional","No","United States","HighSpend"
304,"S","F","High School","Professional","No","United States","HighSpend"
305,"M","F","Partial College","Professional","Yes","United States","HighSpend"
306,"M","M","Partial College","Professional","No","United States","HighSpend"
307,"M","M","Partial College","Professional","No","United States","HighSpend"
308,"M","M","Partial High School","Skilled Manual","Yes","United States","MediumSpend"
309,"M","M","High School","Professional","No","United States","HighSpend"
310,"S","F","High School","Professional","Yes","United States","HighSpend"
311,"S","F","Graduate Degree","Management","Yes","United States","HighSpend"
312,"S","F","Graduate Degree","Management","No","United States","HighSpend"
313,"S","F","Graduate Degree","Management","Yes","United States","HighSpend"
314,"S","M","Graduate Degree","Management","Yes","United States","HighSpend"
315,"S","F","Graduate Degree","Management","No","United States","MediumSpend"
316,"S","F","Graduate Degree","Management","No","United States","HighSpend"
317,"M","M","Graduate Degree","Management","Yes","Canada","MediumSpend"
318,"S","F","Partial College","Professional","No","United States","HighSpend"
319,"S","F","Partial College","Professional","No","United States","HighSpend"
320,"M","F","Graduate Degree","Management","No","United States","HighSpend"
321,"M","F","Graduate Degree","Management","Yes","United States","HighSpend"
322,"M","M","Bachelors","Management","Yes","United States","HighSpend"
323,"M","F","Bachelors","Management","Yes","United States","HighSpend"
324,"S","M","Graduate Degree","Management","Yes","United States","HighSpend"
325,"M","M","Bachelors","Management","Yes","United States","HighSpend"
326,"S","M","Bachelors","Management","Yes","United States","HighSpend"
327,"M","M","Bachelors","Management","Yes","United States","HighSpend"
328,"M","M","Bachelors","Management","Yes","United States","HighSpend"
329,"M","M","Bachelors","Management","Yes","Canada","HighSpend"
330,"S","M","Bachelors","Management","Yes","United States","HighSpend"
331,"M","M","Graduate Degree","Management","Yes","Canada","HighSpend"
332,"M","F","Partial College","Skilled Manual","Yes","Canada","HighSpend"
333,"S","F","Graduate Degree","Manual","Yes","Germany","LowSpend"
334,"M","F","Graduate Degree","Clerical","Yes","United Kingdom","LowSpend"
335,"M","F","Bachelors","Manual","Yes","United Kingdom","LowSpend"
336,"M","F","Bachelors","Manual","Yes","Germany","LowSpend"
337,"M","M","Graduate Degree","Clerical","Yes","France","LowSpend"
338,"M","M","Bachelors","Manual","Yes","United Kingdom","LowSpend"
339,"M","M","Graduate Degree","Clerical","Yes","Germany","LowSpend"
340,"S","M","Graduate Degree","Clerical","Yes","France","LowSpend"
341,"M","F","Graduate Degree","Clerical","Yes","France","LowSpend"
342,"M","M","Graduate Degree","Clerical","Yes","United Kingdom","LowSpend"
343,"M","M","Graduate Degree","Clerical","Yes","France","LowSpend"
344,"M","M","Bachelors","Manual","Yes","United Kingdom","LowSpend"
345,"M","F","Partial College","Manual","Yes","United Kingdom","LowSpend"
346,"S","F","Partial College","Manual","Yes","France","LowSpend"
347,"S","F","Partial College","Manual","Yes","France","LowSpend"
348,"M","M","Partial College","Manual","Yes","Germany","LowSpend"
349,"M","M","Partial College","Manual","Yes","Germany","LowSpend"
350,"M","F","Partial College","Manual","Yes","Germany ","LowSpend"
351,"M","F","Graduate Degree","Clerical","Yes","United Kingdom","LowSpend"
352,"S","F","Bachelors","Clerical","Yes","United Kingdom","LowSpend"
353,"M","M","Partial College","Manual","Yes","France","LowSpend"
354,"S","F","Bachelors","Clerical","Yes","United Kingdom","LowSpend"
355,"M","F","Partial College","Manual","Yes","Germany","LowSpend"
356,"M","M","Graduate Degree","Clerical","Yes","United Kingdom","MediumSpend"
357,"S","M","Partial College","Manual","No","Australia","LowSpend"
358,"S","M","Partial College","Manual","No","Australia","LowSpend"
359,"S","F","Partial College","Manual","No","Australia","LowSpend"
360,"S","M","Partial College","Manual","No","Australia","LowSpend"
361,"S","M","Partial College","Manual","Yes","Australia","LowSpend"
362,"M","F","High School","Manual","Yes","Australia","LowSpend"
363,"M","M","High School","Manual","No","Australia","LowSpend"
364,"S","M","High School","Manual","No","Australia","LowSpend"
365,"S","F","High School","Manual","No","Australia","LowSpend"
366,"S","F","High School","Manual","No","Australia","LowSpend"
367,"M","F","Bachelors","Clerical","Yes","Australia","LowSpend"
368,"M","M","Bachelors","Clerical","Yes","Australia","LowSpend"
369,"S","M","High School","Manual","No","Australia","LowSpend"
370,"M","F","Bachelors","Clerical","No","Australia","LowSpend"
371,"M","F","Bachelors","Clerical","Yes","Australia","LowSpend"
372,"M","F","Bachelors","Clerical","Yes","Australia","LowSpend"
373,"S","F","Bachelors","Clerical","Yes","Australia","LowSpend"
374,"M","F","Bachelors","Clerical","Yes","Germany","LowSpend"
375,"S","M","Bachelors","Clerical","Yes","Germany","LowSpend"
376,"M","M","Bachelors","Clerical","Yes","United Kingdom","LowSpend"
377,"S","M","Graduate Degree","Clerical","Yes","United Kingdom","MediumSpend"
378,"M","M","Graduate Degree","Clerical","Yes","Germany","LowSpend"
379,"S","F","High School","Manual","No","France","LowSpend"
380,"M","M","High School","Manual","Yes","France","LowSpend"
381,"S","M","Partial College","Manual","Yes","Germany","LowSpend"
382,"M","F","Partial College","Manual","Yes","United Kingdom","LowSpend"
383,"M","M","Partial College","Manual","Yes","France","LowSpend"
384,"M","F","Graduate Degree","Clerical","Yes","France","LowSpend"
385,"M","F","Bachelors","Clerical","Yes","France","LowSpend"
386,"S","M","Bachelors","Clerical","Yes","United Kingdom","LowSpend"
387,"M","F","Bachelors","Clerical","Yes","Germany","LowSpend"
388,"S","F","Graduate Degree","Clerical","Yes","United Kingdom","MediumSpend"
389,"M","M","Graduate Degree","Clerical","Yes","United Kingdom","MediumSpend"
390,"S","M","High School","Manual","No","Germany ","LowSpend"
391,"S","F","High School","Manual","No","France","LowSpend"
392,"S","F","High School","Manual","Yes","Germany","LowSpend"
393,"S","M","High School","Manual","Yes","Germany","LowSpend"
394,"S","M","High School","Manual","Yes","France","LowSpend"
395,"S","M","High School","Manual","Yes","United Kingdom","LowSpend"
396,"S","F","Bachelors","Clerical","Yes","Germany","LowSpend"
397,"M","M","High School","Manual","No","Germany","LowSpend"
398,"S","F","Partial College","Manual","No","France","LowSpend"
399,"S","M","Bachelors","Clerical","Yes","United Kingdom","LowSpend"
400,"S","F","Bachelors","Clerical","Yes","France","LowSpend"
401,"S","M","Graduate Degree","Clerical","Yes","United Kingdom","MediumSpend"
402,"M","F","Graduate Degree","Clerical","Yes","France","MediumSpend"
403,"M","F","Graduate Degree","Clerical","Yes","France","MediumSpend"
404,"S","F","Graduate Degree","Clerical","Yes","France","MediumSpend"
405,"S","F","Partial College","Manual","No","Germany","LowSpend"
406,"S","F","Partial College","Manual","No","Germany","LowSpend"
407,"M","F","Partial College","Manual","Yes","France","LowSpend"
408,"M","M","Partial College","Manual","Yes","Germany","LowSpend"
409,"M","M","High School","Manual","No","United Kingdom","LowSpend"
410,"S","F","High School","Manual","Yes","France","LowSpend"
411,"M","M","Partial College","Manual","Yes","France","LowSpend"
412,"M","M","Partial College","Professional","No","Germany","MediumSpend"
413,"S","F","Partial College","Professional","Yes","Germany","MediumSpend"
414,"M","F","Partial College","Professional","No","United Kingdom","MediumSpend"
415,"S","M","Partial College","Professional","Yes","United Kingdom","MediumSpend"
416,"S","M","Partial College","Professional","No","Germany","MediumSpend"
417,"M","F","Partial High School","Skilled Manual","Yes","France","MediumSpend"
418,"M","F","High School","Professional","Yes","France","MediumSpend"
419,"S","M","Partial College","Professional","No","Germany","MediumSpend"
420,"M","M","Graduate Degree","Management","Yes","United Kingdom","HighSpend"
421,"M","M","Bachelors","Management","Yes","France","MediumSpend"
422,"M","F","Bachelors","Management","Yes","Germany","HighSpend"
423,"M","M","Bachelors","Management","Yes","United Kingdom","HighSpend"
424,"M","F","Partial College","Professional","No","Germany","MediumSpend"
425,"M","F","Partial College","Professional","Yes","Germany","MediumSpend"
426,"M","F","High School","Professional","Yes","France","MediumSpend"
427,"M","M","Bachelors","Management","Yes","Germany","MediumSpend"
428,"M","F","Partial College","Professional","Yes","Germany","HighSpend"
429,"S","F","Bachelors","Management","Yes","Germany","HighSpend"
430,"M","M","Partial College","Professional","Yes","France","MediumSpend"
431,"M","F","High School","Professional","Yes","Germany","MediumSpend"
432,"M","M","Partial College","Professional","Yes","Germany","HighSpend"
433,"M","F","High School","Professional","Yes","France","MediumSpend"
434,"M","M","High School","Professional","No","France","MediumSpend"
435,"M","M","Partial College","Professional","Yes","United Kingdom","HighSpend"
436,"S","F","Partial College","Management","Yes","Germany","MediumSpend"
437,"M","F","Partial College","Management","No","United Kingdom","HighSpend"
438,"M","M","High School","Management","Yes","France","MediumSpend"
439,"M","F","High School","Management","Yes","Germany","HighSpend"
440,"M","F","High School","Management","No","France","MediumSpend"
441,"M","M","Partial High School","Skilled Manual","No","France","MediumSpend"
442,"M","F","Partial High School","Skilled Manual","No","France","MediumSpend"
